ISO3166CO,departamento
CO-AMA,Amazonas
CO-ANT,Antioquia
CO-ARA,Arauca
CO-ATL,Atlántico
CO-BOL,Bolivar
CO-BOY,Boyaca
CO-CAL,Caldas
CO-CAQ,Caqueta
CO-CAS,Casanare
CO-CAU,Cauca
CO-CES,Cesar
CO-CHO,Choco
CO-COR,Cordoba
CO-CUN,Cundinamarca
CO-GUA,Guainia
CO-GUV,Guaviare
CO-HUI,Huila
CO-LAG,La Guajira
CO-MAG,Magdalena
CO-MET,Meta
CO-NAR,Narino
CO-NSA,Norte de Santander
CO-PUT,Putumayo
CO-QUI,Quindío
CO-RIS,Risaralda
CO-SAP,San Andres y Providencia
CO-SAN,Santander
CO-SUC,Sucre
CO-TOL,Tolima
CO-VAC,Valle del Cauca
CO-VAU,Vaupes
CO-VID,Vichada
CO-DC,Bogotá D.C.